#ccds	gene	gene_id	ccds_status	attribute
CCDS34349.1	H1-6	3010	Public	CDS uses downstream AUG
CCDS34364.1	OR10C1	442194	Public	Polymorphic pseudogene
CCDS34413.1	HSPA1L	3305	Public	CDS uses downstream AUG
CCDS34457.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS34458.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS34476.1	DEFB112	245915	Reviewed, update pending	CDS uses downstream AUG
CCDS34486.2	COX7A2	1347	Under review, update	CDS uses downstream AUG
CCDS34602.1	ICA1	3382	Public	CDS uses downstream AUG
CCDS34616.2	NT5C3A	51251	Public	CDS uses downstream AUG
CCDS34620.2	POU6F2	11281	Reviewed, withdrawal pending	Inferred exon combination
CCDS34737.1	MDFIC	29969	Public	Non-AUG initiation codon
CCDS34875.1	RBPMS	11030	Public	Nonsense-mediated decay (NMD) candidate
CCDS34946.1	TRAPPC9	83696	Under review, update	CDS uses downstream AUG
CCDS34950.1	ARC	23237	Public	Nonsense-mediated decay (NMD) candidate
CCDS34999.1	TUSC1	286319	Under review, update	CDS uses downstream AUG
CCDS35004.1	BAG1	573	Public	Non-AUG initiation codon
CCDS35072.1	ERCC6L2	375748	Reviewed, update pending	CDS uses downstream AUG
CCDS35077.2	CCDC180	100499483	Under review, update	CDS uses downstream AUG
CCDS35085.1	CYLC2	1539	Public	Nonsense-mediated decay (NMD) candidate
CCDS35089.1	OR13C3	138803	Under review, update	CDS uses downstream AUG
CCDS35123.1	OR1N2	138882	Reviewed, update pending	CDS uses downstream AUG
CCDS35362.1	H2BW1	158983	Under review, update	CDS uses downstream AUG
CCDS35500.2	ZNF550	162972	Public	Nonsense-mediated decay (NMD) candidate
CCDS41224.2	MIB2	142678	Under review, update	CDS uses downstream AUG
CCDS41238.1	HES3	390992	Public	CDS uses downstream AUG
CCDS41240.1	PLEKHG5	57449	Under review, update	CDS uses downstream AUG
CCDS41241.1	PLEKHG5	57449	Under review, update	CDS uses downstream AUG
CCDS41258.2	PRAMEF18	391003	Public	Inferred exon combination
CCDS41265.1	PRAMEF20	645425	Public	Inferred exon combination
CCDS41282.1	SELENON	57190	Public	Contains selenocysteine
CCDS41283.1	SELENON	57190	Public	Contains selenocysteine
CCDS41289.1	TRNP1	388610	Public	Nonsense-mediated decay (NMD) candidate
CCDS41295.1	RCC1	1104	Public	CDS uses downstream AUG
CCDS41320.1	MUTYH	4595	Under review, update	CDS uses downstream AUG
CCDS41332.3	OSBPL9	114883	Public	CDS uses downstream AUG
CCDS41333.2	OSBPL9	114883	Public	CDS uses downstream AUG
CCDS41339.1	DIO1	1733	Public	Contains selenocysteine
CCDS41340.1	DIO1	1733	Public	Contains selenocysteine
CCDS41350.1	LRRIQ3	127255	Public	Inferred exon combination
CCDS41356.2	CCDC18	343099	Public	Inferred exon combination
CCDS41414.2	RHBG	57127	Public	Polymorphic pseudogene
CCDS41481.1	OR1C1	26188	Public	CDS uses downstream AUG
CCDS41618.1	EIF4G2	1982	Public	Non-AUG initiation codon
CCDS41757.2	PRB2	653247	Public	Inferred exon combination
CCDS41815.1	NAV3	89795	Public	Inferred exon combination
CCDS41859.1	TMEM132B	114795	Public	Inferred exon combination
CCDS41905.1	DAOA	267012	Public	Nonsense-mediated decay (NMD) candidate
CCDS41964.1	GPX2	2877	Public	Contains selenocysteine
CCDS41965.1	MAX	4149	Public	Nonsense-mediated decay (NMD) candidate
CCDS41982.1	SERPINA9	327657	Reviewed, update pending	CDS uses downstream AUG
CCDS41983.1	SERPINA9	327657	Reviewed, update pending	CDS uses downstream AUG
CCDS41992.2	DIO3	1735	Public	Contains selenocysteine
CCDS41995.1	BAG5	9529	Under review, update	CDS uses downstream AUG
CCDS42016.1	EIF2AK4	440275	Public	Inferred exon combination
CCDS42022.1	CCDC32	90416	Under review, update	CDS uses downstream AUG
CCDS42068.1	CFAP161	161502	Public	CDS uses downstream AUG
CCDS42086.1	LRRK1	79705	Public	Inferred exon combination
CCDS42100.1	MSRB1	51734	Public	Contains selenocysteine
CCDS42102.1	NPW	283869	Public	Non-AUG initiation codon
CCDS42116.2	C16orf89	146556	Public	CDS uses downstream AUG
CCDS42150.1	SEPHS2	22928	Public	Contains selenocysteine
CCDS42174.3	CES4A	283848	Public	CDS uses downstream AUG
CCDS42176.1	NOL3	8996	Public	CDS uses downstream AUG
CCDS42228.1	DPH1	1801	Reviewed, update pending	CDS uses downstream AUG
CCDS42233.1	OR3A2	4995	Under review, update	CDS uses downstream AUG
CCDS42265.1	TBC1D26	353149	Public	Nonsense-mediated decay (NMD) candidate
CCDS42268.1	MPRIP	23164	Public	CDS uses downstream AUG
CCDS42364.2	C17orf67	339210	Public	CDS uses downstream AUG
CCDS42378.1	GPRC5C	55890	Reviewed, update pending	CDS uses downstream AUG
CCDS42382.1	PRCD	768206	Public	Nonsense-mediated decay (NMD) candidate
CCDS42457.1	GPX4	2879	Public	Contains selenocysteine
CCDS42519.1	CPAMD8	27151	Reviewed, update pending	CDS uses downstream AUG
CCDS42542.1	C19orf12	83636	Under review, update	CDS uses downstream AUG
CCDS42575.1	BCAM	4059	Public	Nonsense-mediated decay (NMD) candidate
CCDS42581.1	STRN4	29888	Public	Nonsense-mediated decay (NMD) candidate
CCDS42612.1	LILRB2	10288	Public	CDS uses downstream AUG
CCDS42614.1	LILRB1	10859	Public	CDS uses downstream AUG
CCDS42615.1	LILRB1	10859	Public	CDS uses downstream AUG
CCDS42616.1	LILRB1	10859	Public	CDS uses downstream AUG
CCDS42617.1	LILRB1	10859	Public	CDS uses downstream AUG
CCDS42630.1	COX6B2	125965	Public	Nonsense-mediated decay (NMD) candidate
CCDS42642.1	ZNF418	147686	Public	Nonsense-mediated decay (NMD) candidate
CCDS42751.1	SMPD4	55627	Under review, update	CDS uses downstream AUG
CCDS42803.1	CTLA4	1493	Public	Inferred exon combination
CCDS42824.1	SPEG	10290	Public	Inferred exon combination
CCDS42837.1	OR6B3	150681	Public	CDS uses downstream AUG
CCDS42863.1	TTLL9	164395	Public	Inferred exon combination
CCDS42869.1	MYH7B	57644	Under review, update	CDS uses downstream AUG
CCDS42981.1	TXNRD2	10587	Public	Contains selenocysteine
CCDS42981.1	TXNRD2	10587	Public	Nonsense-mediated decay (NMD) candidate
CCDS43003.1	SELENOM	140606	Public	Contains selenocysteine
CCDS43027.1	SMC1B	27127	Public	Inferred exon combination
CCDS43034.1	SELENOO	83642	Public	Contains selenocysteine
CCDS43091.1	GPX1	2876	Public	Contains selenocysteine
CCDS43113.2	CRYBG3	131544	Public	Inferred exon combination
CCDS43136.1	NR1I2	8856	Public	Non-AUG initiation codon
CCDS43193.2	CEP19	84984	Reviewed, update pending	CDS uses downstream AUG
CCDS43226.1	CNGA1	1259	Under review, update	CDS uses downstream AUG
CCDS43311.1	SELENOP	6414	Public	Contains selenocysteine
CCDS43330.1	FAM169A	26049	Public	CDS uses downstream AUG
CCDS43353.1	FAM170A	340069	Public	Nonsense-mediated decay (NMD) candidate
CCDS43376.1	HMHB1	57824	Public	Non-AUG initiation codon
CCDS43389.1	GPX3	2878	Public	Contains selenocysteine
CCDS43432.1	GPX6	257202	Public	Contains selenocysteine
CCDS43467.2	RUNX2	860	Public	Inferred exon combination
CCDS43501.1	TBC1D32	221322	Public	Inferred exon combination
CCDS43517.1	OPRM1	4988	Public	CDS uses downstream AUG
CCDS43530.1	KIF25	3834	Public	Inferred exon combination
CCDS43667.1	OR6B1	135946	Public	CDS uses downstream AUG
CCDS43669.1	OR2A25	392138	Public	CDS uses downstream AUG
CCDS43808.2	SPATA31A1	647060	Reviewed, update pending	CDS uses downstream AUG
CCDS43827.1	CBWD6	644019	Public	Inferred exon combination
CCDS43869.1	RGS3	5998	Under review, update	CDS uses downstream AUG
CCDS43883.1	SWI5	375757	Under review, update	Non-AUG initiation codon
CCDS43896.1	CEL	1056	Reviewed, update pending	CDS uses downstream AUG
CCDS44029.1	BPY2B	442867	Public	Nonsense-mediated decay (NMD) candidate
CCDS44030.1	BPY2C	442868	Public	Nonsense-mediated decay (NMD) candidate
CCDS44134.1	MKNK1	8569	Reviewed, update pending	CDS uses downstream AUG
CCDS44145.1	OSBPL9	114883	Public	CDS uses downstream AUG
CCDS44185.1	FNDC7	163479	Public	CDS uses downstream AUG
CCDS44202.1	ZNF697	90874	Public	CDS uses downstream AUG
CCDS44240.1	PKLR	5313	Public	CDS uses downstream AUG
CCDS44245.1	GPATCH4	54865	Public	Polymorphic pseudogene
CCDS44257.1	TSTD1	100131187	Public	CDS uses downstream AUG
CCDS44258.1	TSTD1	100131187	Public	CDS uses downstream AUG
CCDS44288.1	PRG4	10216	Public	Inferred exon combination
CCDS44308.1	CR1	1378	Public	CDS uses downstream AUG
CCDS44309.1	CR1	1378	Public	CDS uses downstream AUG
CCDS44346.1	NLRP3	114548	Under review, update	CDS uses downstream AUG
CCDS44347.1	NLRP3	114548	Under review, update	CDS uses downstream AUG
CCDS44400.1	PCDH15	65217	Public	Inferred exon combination
CCDS44401.1	PCDH15	65217	Public	Inferred exon combination
CCDS44403.1	PCDH15	65217	Public	Inferred exon combination
CCDS44404.1	PCDH15	65217	Public	Inferred exon combination
CCDS44429.1	CDH23	64072	Public	CDS uses downstream AUG
CCDS44468.1	ANKRD2	26287	Public	CDS uses downstream AUG
CCDS44485.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS44486.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS44487.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS44488.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS44489.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS44494.1	JAKMIP3	282973	Public	Nonsense-mediated decay (NMD) candidate
CCDS44513.1	MUC6	4588	Public	CDS uses downstream AUG
CCDS44513.1	MUC6	4588	Public	Inferred exon combination
CCDS44515.2	MUC5B	727897	Public	Inferred exon combination
CCDS44528.1	OR52N4	390072	Public	Polymorphic pseudogene
CCDS44532.1	DNHD1	144132	Public	Inferred exon combination
CCDS44539.1	IRAG1	10335	Public	Non-AUG initiation codon
CCDS44556.1	MUC15	143662	Public	CDS uses downstream AUG
CCDS44557.1	MUC15	143662	Public	CDS uses downstream AUG
CCDS44561.1	WT1	7490	Reviewed, update pending	Non-AUG initiation codon
CCDS44562.1	WT1	7490	Reviewed, update pending	Non-AUG initiation codon
CCDS44565.2	KIAA1549L	25758	Reviewed, update pending	Inferred exon combination
CCDS44596.1	PTPRJ	5795	Public	CDS uses downstream AUG
CCDS44602.1	SELENOH	280636	Public	Contains selenocysteine
CCDS44629.1	NXF1	10482	Public	Nonsense-mediated decay (NMD) candidate
CCDS44633.1	LGALS12	85329	Reviewed, update pending	CDS uses downstream AUG
CCDS44636.1	ZFTA	65998	Public	Inferred exon combination
CCDS44640.1	NUDT22	84304	Public	CDS uses downstream AUG
CCDS44685.2	KLHL35	283212	Public	CDS uses downstream AUG
CCDS44704.1	UBTFL1	642623	Public	Inferred exon combination
CCDS44718.1	CASP5	838	Public	Inferred exon combination
CCDS44720.1	CASP5	838	Public	Inferred exon combination
CCDS44732.1	PLET1	349633	Public	Inferred exon combination
CCDS44808.1	PLEKHG6	55200	Under review, update	CDS uses downstream AUG
CCDS44821.1	PTPN6	5777	Public	Nonsense-mediated decay (NMD) candidate
CCDS44878.1	FAM186A	121006	Public	Inferred exon combination
CCDS44923.1	APOF	319	Public	CDS uses downstream AUG
CCDS45001.1	LRRC43	254050	Public	Inferred exon combination
CCDS45019.1	GTF3A	2971	Public	Non-AUG initiation codon
CCDS45022.1	MTUS2	23281	Reviewed, update pending	CDS uses downstream AUG
CCDS45051.1	CNMD	11061	Public	CDS uses downstream AUG
CCDS45102.1	DMAC2L	27109	Reviewed, update pending	CDS uses downstream AUG
CCDS45133.1	DPF3	8110	Public	Nonsense-mediated decay (NMD) candidate
CCDS45146.1	DIO2	1734	Public	Contains selenocysteine
CCDS45158.1	TMEM251	26175	Reviewed, update pending	CDS uses downstream AUG
CCDS45177.1	AHNAK2	113146	Public	Inferred exon combination
CCDS45184.1	GOLGA6L6	727832	Public	Inferred exon combination
CCDS45364.1	RAB11FIP3	9727	Reviewed, update pending	CDS uses downstream AUG
CCDS45380.1	FAHD1	81889	Under review, update	CDS uses downstream AUG
CCDS45381.2	HS3ST6	64711	Public	CDS uses downstream AUG
CCDS45396.1	NAA60	79903	Public	Nonsense-mediated decay (NMD) candidate
CCDS45404.2	C16orf89	146556	Public	CDS uses downstream AUG
CCDS45417.2	SHISA9	729993	Public	CDS uses downstream AUG
CCDS45418.2	SHISA9	729993	Public	CDS uses downstream AUG
CCDS45524.1	HP	3240	Public	CDS uses downstream AUG
CCDS45525.1	HP	3240	Public	CDS uses downstream AUG
CCDS45537.1	USP10	9100	Public	CDS uses downstream AUG
CCDS45584.1	ZMYND15	84225	Public	CDS uses downstream AUG
CCDS45605.1	TP53	7157	Public	Nonsense-mediated decay (NMD) candidate
CCDS45606.1	TP53	7157	Public	Nonsense-mediated decay (NMD) candidate
CCDS45634.2	SEBOX	645832	Public	Inferred exon combination
CCDS45638.1	SEZ6	124925	Public	Inferred exon combination
CCDS45664.1	ARL5C	390790	Public	Inferred exon combination
CCDS45743.1	SEPTIN4	5414	Public	Nonsense-mediated decay (NMD) candidate
CCDS45754.1	TANC2	26115	Public	Inferred exon combination
CCDS45769.1	SDK2	54549	Public	Inferred exon combination
CCDS45925.1	ANKRD24	170961	Public	Inferred exon combination
CCDS45929.1	ARRDC5	645432	Reviewed, update pending	CDS uses downstream AUG
CCDS45942.1	MBD3L5	284428	Public	Inferred exon combination
CCDS45946.1	ARHGEF18	23370	Reviewed, update pending	CDS uses downstream AUG
CCDS46020.1	CERS1	10715	Public	Nonsense-mediated decay (NMD) candidate
CCDS46143.1	PRR12	57479	Public	Inferred exon combination
CCDS46150.1	SIGLEC11	114132	Public	CDS uses downstream AUG
CCDS46202.1	GALP	85569	Public	Nonsense-mediated decay (NMD) candidate
CCDS46227.1	ATAD2B	54454	Public	Inferred exon combination
CCDS46240.1	SELENOI	85465	Public	Contains selenocysteine
CCDS46262.1	MORN2	729967	Under review, update	Non-AUG initiation codon
CCDS46286.1	EML6	400954	Public	Inferred exon combination
CCDS46405.1	MYO7B	4648	Public	Inferred exon combination
CCDS46442.1	SCN7A	6332	Public	Inferred exon combination
CCDS46452.1	SP3	6670	Public	Non-AUG initiation codon
CCDS46504.1	UNC80	285175	Public	Inferred exon combination
CCDS46505.1	CPS1	1373	Reviewed, update pending	CDS uses downstream AUG
CCDS46554.1	RBM44	375316	Under review, update	CDS uses downstream AUG
CCDS46562.1	SNED1	25992	Public	Inferred exon combination
CCDS46563.1	ANO7	50636	Reviewed, update pending	CDS uses downstream AUG
CCDS46567.1	C20orf202	400831	Under review, update	CDS uses downstream AUG
CCDS46582.1	DZANK1	55184	Public	Inferred exon combination
CCDS46659.1	MICAL3	57553	Public	Inferred exon combination
CCDS46706.1	DDX17	10521	Public	Non-AUG initiation codon
CCDS46775.1	RARB	5915	Public	CDS uses downstream AUG
CCDS46836.3	MANF	7873	Reviewed, update pending	CDS uses downstream AUG
CCDS46839.1	PARP3	10039	Under review, update	CDS uses downstream AUG
CCDS46880.1	ABI3BP	25890	Under review, update	CDS uses downstream AUG
CCDS46911.1	COL6A6	131873	Public	CDS uses downstream AUG
CCDS46936.1	SELENOT	51714	Public	Contains selenocysteine
CCDS46988.1	LMLN	89782	Under review, update	CDS uses downstream AUG
CCDS47009.1	PSAPL1	768239	Public	Polymorphic pseudogene
CCDS47036.1	CCDC149	91050	Under review, update	CDS uses downstream AUG
CCDS47050.1	CNGA1	1259	Reviewed, update pending	CDS uses downstream AUG
CCDS47061.1	PAICS	10606	Public	CDS uses downstream AUG
CCDS47121.1	AIMP1	9255	Reviewed, update pending	CDS uses downstream AUG
CCDS47205.1	MOCS2	4338	Public	Nonsense-mediated decay (NMD) candidate
CCDS47209.1	IL6ST	3572	Public	Nonsense-mediated decay (NMD) candidate
CCDS47215.1	ZSWIM6	57688	Public	Inferred exon combination
CCDS47240.1	DHFR	1719	Public	CDS uses downstream AUG
CCDS47259.1	PRDM6	93166	Public	Inferred exon combination
CCDS47281.1	PCDHA6	56142	Public	CDS uses downstream AUG
CCDS47282.1	PCDHA6	56142	Public	CDS uses downstream AUG
CCDS47285.1	PCDHA12	56137	Public	CDS uses downstream AUG
CCDS47398.2	POU5F1	5460	Public	Non-AUG initiation codon
CCDS47413.1	TCP11	6954	Reviewed, update pending	CDS uses downstream AUG
CCDS47414.1	TEAD3	7005	Public	Non-AUG initiation codon
CCDS47432.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS47433.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS47434.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS47435.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS47507.1	OPRM1	4988	Public	CDS uses downstream AUG
CCDS47508.1	OPRM1	4988	Public	CDS uses downstream AUG
CCDS47552.1	PRPS1L1	221823	Public	Non-AUG initiation codon
CCDS47576.1	C7orf25	79020	Under review, update	CDS uses downstream AUG
CCDS47595.1	ERV3-1	2086	Public	Endogenous retrovirus
CCDS47607.1	ABHD11	83451	Under review, update	CDS uses downstream AUG
CCDS47608.1	ABHD11	83451	Under review, update	CDS uses downstream AUG
CCDS47632.1	ELAPOR2	222223	Public	Inferred exon combination
CCDS47644.1	PON2	5445	Public	CDS uses downstream AUG
CCDS47663.2	ZAN	7455	Public	Polymorphic pseudogene
CCDS47664.2	ZAN	7455	Public	Polymorphic pseudogene
CCDS47733.1	CASP2	835	Public	Nonsense-mediated decay (NMD) candidate
CCDS47741.1	ZNF862	643641	Public	Inferred exon combination
CCDS47742.1	ATP6V0E2	155066	Under review, update	CDS uses downstream AUG
CCDS47749.2	ASB10	136371	Public	CDS uses downstream AUG
CCDS47826.2	R3HCC1	203069	Public	Non-AUG initiation codon
CCDS47966.1	FBXO10	26267	Public	CDS uses downstream AUG
CCDS47980.1	C9orf57	138240	Reviewed, update pending	CDS uses downstream AUG
CCDS47982.1	PRUNE2	158471	Public	Inferred exon combination
CCDS48133.1	HEPH	9843	Under review, update	CDS uses downstream AUG
CCDS48161.1	CT47B1	643311	Public	Inferred exon combination
CCDS48167.1	AIFM1	9131	Public	Nonsense-mediated decay (NMD) candidate
CCDS53261.1	MIB2	142678	Under review, update	CDS uses downstream AUG
CCDS53262.1	MIB2	142678	Under review, update	CDS uses downstream AUG
CCDS53263.1	MIB2	142678	Under review, update	CDS uses downstream AUG
CCDS53320.1	DIO1	1733	Public	Contains selenocysteine
CCDS53361.1	MINDY1	55793	Under review, update	CDS uses downstream AUG
CCDS53368.1	RIIAD1	284485	Public	Nonsense-mediated decay (NMD) candidate
CCDS53400.1	TSTD1	100131187	Public	CDS uses downstream AUG
CCDS53414.1	FCGR2B	2213	Public	Inferred exon combination
CCDS53427.1	SELL	6402	Reviewed, update pending	CDS uses downstream AUG
CCDS53429.1	MROH9	80133	Public	Inferred exon combination
CCDS53455.1	IGFN1	91156	Public	Inferred exon combination
CCDS53460.1	NFASC	23114	Public	CDS uses downstream AUG
CCDS53461.1	NFASC	23114	Public	CDS uses downstream AUG
CCDS53462.1	NFASC	23114	Public	CDS uses downstream AUG
CCDS53542.1	DUSP13	51207	Public	Nonsense-mediated decay (NMD) candidate
CCDS53581.1	PLEKHS1	79949	Public	Inferred exon combination
CCDS53584.1	FGFR2	2263	Public	CDS uses downstream AUG
CCDS53605.1	SOX6	55553	Reviewed, update pending	CDS uses downstream AUG
CCDS53618.1	EXT2	2132	Under review, update	CDS uses downstream AUG
CCDS53648.1	LGALS12	85329	Reviewed, update pending	CDS uses downstream AUG
CCDS53663.1	ACTN3	89	Public	Polymorphic pseudogene
CCDS53677.1	KRTAP5-9	3846	Public	CDS uses downstream AUG
CCDS53820.1	TXNRD1	7296	Public	Contains selenocysteine
CCDS53821.1	TXNRD1	7296	Public	Contains selenocysteine
CCDS53823.1	TXNRD1	7296	Public	Contains selenocysteine
CCDS53826.1	MYO1H	283446	Under review, update	Inferred exon combination
CCDS53867.1	HTR2A	3356	Under review, update	CDS uses downstream AUG
CCDS53880.1	DAOA	267012	Public	Nonsense-mediated decay (NMD) candidate
CCDS53930.1	IVD	3712	Reviewed, update pending	CDS uses downstream AUG
CCDS53935.1	STARD9	57519	Public	Inferred exon combination
CCDS53964.1	CHRNA3	1136	Public	CDS uses downstream AUG
CCDS53979.1	SELENOS	55829	Public	Contains selenocysteine
CCDS54068.1	GP1BA	2811	Public	CDS uses downstream AUG
CCDS54266.1	SELENOV	348303	Public	Contains selenocysteine
CCDS54284.1	SAE1	10055	Public	CDS uses downstream AUG
CCDS54285.1	SAE1	10055	Public	CDS uses downstream AUG
CCDS54407.1	NEB	4703	Public	Inferred exon combination
CCDS54422.1	TTN	7273	Public	Inferred exon combination
CCDS54423.1	TTN	7273	Public	Inferred exon combination
CCDS54424.1	TTN	7273	Public	Inferred exon combination
CCDS54453.1	HCK	3055	Public	Non-AUG initiation codon
CCDS54455.1	HCK	3055	Public	CDS uses downstream AUG
CCDS54456.1	HCK	3055	Public	CDS uses downstream AUG
CCDS54518.1	SEC14L6	730005	Public	CDS uses downstream AUG
CCDS54565.1	MYD88	4615	Reviewed, update pending	CDS uses downstream AUG
CCDS54566.1	MYD88	4615	Reviewed, update pending	CDS uses downstream AUG
CCDS54567.1	MYD88	4615	Reviewed, update pending	CDS uses downstream AUG
CCDS54568.1	MYD88	4615	Reviewed, update pending	CDS uses downstream AUG
CCDS54573.1	TMEM158	25907	Public	Polymorphic pseudogene
CCDS54582.1	GPX1	2876	Public	Contains selenocysteine
CCDS54597.1	SELENOK	58515	Public	Contains selenocysteine
CCDS54617.1	GABRR3	200959	Public	Inferred exon combination
CCDS54617.1	GABRR3	200959	Public	Polymorphic pseudogene
CCDS54627.1	NR1I2	8856	Public	Non-AUG initiation codon
CCDS54693.1	THPO	7066	Public	CDS uses downstream AUG
CCDS54701.1	PIGX	54965	Public	Non-AUG initiation codon
CCDS54707.1	C4orf48	401115	Under review, update	CDS uses downstream AUG
CCDS54751.1	STIM2	57620	Public	CDS uses downstream AUG
CCDS54751.1	STIM2	57620	Public	Non-AUG initiation codon
CCDS54752.1	STIM2	57620	Public	CDS uses downstream AUG
CCDS54752.1	STIM2	57620	Public	Non-AUG initiation codon
CCDS54754.1	DTHD1	401124	Reviewed, update pending	Inferred exon combination
CCDS54766.1	YIPF7	285525	Under review, update	CDS uses downstream AUG
CCDS54771.1	FRAS1	80144	Public	Inferred exon combination
CCDS54840.1	TTC23L	153657	Public	Nonsense-mediated decay (NMD) candidate
CCDS54889.1	FAM170A	340069	Public	Nonsense-mediated decay (NMD) candidate
CCDS54954.1	FAM193B	54540	Public	Inferred exon combination
CCDS55007.1	VEGFA	7422	Public	Non-AUG initiation codon
CCDS55069.1	OPRM1	4988	Public	CDS uses downstream AUG
CCDS55070.1	OPRM1	4988	Public	CDS uses downstream AUG
CCDS55125.1	CALCR	799	Reviewed, update pending	CDS uses downstream AUG
CCDS55126.1	PEG10	23089	Public	CDS uses downstream AUG
CCDS55139.1	MUC12	10071	Public	CDS uses downstream AUG
CCDS55139.1	MUC12	10071	Public	Inferred exon combination
CCDS55174.1	TBXAS1	6916	Reviewed, update pending	CDS uses downstream AUG
CCDS55181.1	ATP6V0E2	155066	Under review, update	CDS uses downstream AUG
CCDS55189.1	CSMD1	64478	Public	Inferred exon combination
CCDS55228.1	IKBKB	3551	Under review, update	CDS uses downstream AUG
CCDS55301.1	BAG1	573	Public	CDS uses downstream AUG
CCDS55310.1	GNE	10020	Under review, update	CDS uses downstream AUG
CCDS55446.1	RTL5	340526	Public	Nonsense-mediated decay (NMD) candidate
CCDS55468.1	H2BW2	286436	Reviewed, update pending	CDS uses downstream AUG
CCDS55479.1	KLHL13	90293	Under review, update	CDS uses downstream AUG
CCDS55493.1	MBNL3	55796	Under review, update	CDS uses downstream AUG
CCDS55494.1	MBNL3	55796	Under review, update	CDS uses downstream AUG
CCDS55564.1	PRXL2B	127281	Reviewed, update pending	CDS uses downstream AUG
CCDS55565.1	TTC34	100287898	Reviewed, update pending	Inferred exon combination
CCDS55568.1	TP73	7161	Public	Inferred exon combination
CCDS55598.1	OSBPL9	114883	Public	CDS uses downstream AUG
CCDS55602.1	PODN	127435	Reviewed, update pending	CDS uses downstream AUG
CCDS55847.1	PTPRR	5801	Public	CDS uses downstream AUG
CCDS55849.1	TBC1D15	64786	Under review, update	CDS uses downstream AUG
CCDS55954.1	MTA1	9112	Public	Nonsense-mediated decay (NMD) candidate
CCDS55962.1	PLA2G4E	123745	Public	Inferred exon combination
CCDS56026.1	SLFN12L	100506736	Under review, update	CDS uses downstream AUG
CCDS56117.1	TMEM247	388946	Public	polyA required for stop codon
CCDS56131.1	BCL2L11	10018	Public	Nonsense-mediated decay (NMD) candidate
CCDS56132.1	BCL2L11	10018	Public	Nonsense-mediated decay (NMD) candidate
CCDS56133.1	BCL2L11	10018	Public	Nonsense-mediated decay (NMD) candidate
CCDS56134.1	BCL2L11	10018	Public	Nonsense-mediated decay (NMD) candidate
CCDS56135.1	BCL2L11	10018	Public	Nonsense-mediated decay (NMD) candidate
CCDS56136.1	BCL2L11	10018	Public	Nonsense-mediated decay (NMD) candidate
CCDS56286.1	MLF1	4291	Under review, update	CDS uses downstream AUG
CCDS56411.1	DDR1	780	Under review, update	CDS uses downstream AUG
CCDS56428.1	NCR2	9436	Public	CDS uses downstream AUG
CCDS56429.1	NCR2	9436	Public	CDS uses downstream AUG
CCDS56447.1	MCM9	254394	Public	CDS uses downstream AUG
CCDS56565.1	CDKN2A	1029	Public	Nonsense-mediated decay (NMD) candidate
CCDS56568.1	APTX	54840	Reviewed, update pending	CDS uses downstream AUG
CCDS57969.1	PLEKHG5	57449	Under review, update	CDS uses downstream AUG
CCDS57970.1	CA6	765	Public	CDS uses downstream AUG
CCDS57971.1	CA6	765	Public	CDS uses downstream AUG
CCDS58028.1	OAZ3	51686	Public	Ribosomal slippage (translational frameshift)
CCDS58039.1	IFI16	3428	Public	CDS uses downstream AUG
CCDS58049.1	RGSL1	353299	Public	Nonsense-mediated decay (NMD) candidate
CCDS58057.1	CHIT1	1118	Public	CDS uses downstream AUG
CCDS58077.1	ZNF248	57209	Public	Nonsense-mediated decay (NMD) candidate
CCDS58101.1	CFAP46	54777	Public	Inferred exon combination
CCDS58274.1	TXNRD1	7296	Public	Contains selenocysteine
CCDS58299.1	ACOD1	730249	Public	Inferred exon combination
CCDS58372.1	OAZ2	4947	Public	Ribosomal slippage (translational frameshift)
CCDS58532.1	KSR1	8844	Public	Inferred exon combination
CCDS58589.1	DNAI2	64446	Public	Nonsense-mediated decay (NMD) candidate
CCDS58639.1	OAZ1	4946	Public	Ribosomal slippage (translational frameshift)
CCDS58924.1	LARP7	51574	Under review, update	CDS uses downstream AUG
CCDS58949.1	KIF2A	3796	Under review, update	CDS uses downstream AUG
CCDS58964.1	SNCAIP	9627	Public	CDS uses downstream AUG
CCDS59018.1	TCP11	6954	Reviewed, update pending	CDS uses downstream AUG
CCDS59024.1	ANKRD66	100287718	Under review, update	CDS uses downstream AUG
CCDS59050.1	ITPRID1	223075	Under review, update	CDS uses downstream AUG
CCDS59114.1	LY6K	54742	Public	CDS uses downstream AUG
CCDS59162.1	DCAF8L2	347442	Public	Inferred exon combination
CCDS59170.1	ARMCX4	100131755	Public	CDS uses downstream AUG
CCDS59199.1	PPIAL4D	645142	Public	Inferred exon combination
CCDS59202.1	ASCL5	647219	Public	Inferred exon combination
CCDS59204.1	OBSCN	84033	Public	Inferred exon combination
CCDS59225.2	OTOG	340990	Public	CDS uses downstream AUG
